Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Yellow,Square,Large,A,A,B,C,C,D,2,1,vide,100,100,2
Purple,Octagon,Large,B,A,A,D,C,C,3,2,luve,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,3,xeba,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,4,rowu,100,100,3
Yellow,Square,Large,A,A,B,C,C,D,2,5,ruwe,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,6,lile,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,7,xike,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,8,gegi,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,9,mene,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,10,hego,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,11,neza,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,12,yeji,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,13,pamo,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,halu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,15,qica,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,16,qomu,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,17,nuti,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,18,howe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,buwo,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,20,hedo,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,21,bemo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,22,leye,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,23,giko,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,24,linu,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,25,nopo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,26,coqi,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,27,reze,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,28,sika,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,29,wika,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,30,neco,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,31,hojo,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,32,faro,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,33,rego,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,34,hije,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,35,zulo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,36,kama,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,37,cadu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,38,viga,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,39,quqo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,40,xugu,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,41,wipo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,42,toli,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,43,fule,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,44,vube,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,45,cani,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,46,kage,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,47,laka,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,48,kize,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,49,xumo,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,50,lora,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,51,devu,100,100,2
Purple,Octagon,Large,B,A,A,D,C,C,3,52,caho,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,53,wiro,100,100,0
Purple,Octagon,Large,B,B,B,D,D,D,3,54,pufo,100,100,3
Yellow,Square,Large,A,A,B,C,C,D,2,55,decu,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,56,juxe,100,100,3
Yellow,Octagon,Short,A,B,A,C,D,C,1,57,wowu,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,58,gofa,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,59,riki,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,60,gari,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,61,vogo,100,100,0
Yellow,Octagon,Short,B,B,B,D,D,D,1,62,qewo,100,100,0
Yellow,Square,Large,A,A,B,C,C,D,2,63,mabo,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,64,guva,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,65,duha,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,66,kivi,100,100,0
Yellow,Octagon,Short,A,A,B,C,C,D,1,67,dobo,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,68,taru,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,69,quku,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,70,pisa,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,71,tewi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,72,voha,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,73,zoha,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,74,seca,100,100,1
Purple,Square,Short,A,B,A,C,D,C,2,75,giho,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,76,vije,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,77,zepu,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,78,huba,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,79,refi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,80,gezo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,81,muwu,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,82,mitu,100,100,2
Purple,Square,Short,A,B,A,C,D,C,2,83,xano,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,84,kavo,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,85,hude,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,86,voci,100,100,2
Yellow,Octagon,Short,A,B,A,C,D,C,1,87,feze,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,88,bazu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,89,goxo,100,100,2
Purple,Octagon,Large,A,B,A,C,D,C,3,90,jaqu,100,100,3
Yellow,Square,Large,A,B,A,C,D,C,2,91,betu,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,92,guxe,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,93,gexu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,94,bihi,100,100,0
Purple,Square,Short,A,B,A,C,D,C,2,95,siqo,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,96,rilu,100,100,0
