Color,Shape,Size,Pitch,Instrument,Tempo,Texture,Material,Consistency,FinalLevel,ObjectNumber,ObjectName,Points,Deadline,InterruptLevel
Purple,Octagon,Large,A,A,B,C,C,D,3,1,qaka,100,100,2
Yellow,Octagon,Short,B,A,A,D,C,C,1,2,lusi,100,100,0
Yellow,Square,Large,A,B,A,C,D,C,2,3,laku,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,4,huxe,100,100,2
Purple,Octagon,Large,A,A,B,C,C,D,3,5,xova,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,6,keda,100,100,1
Purple,Octagon,Large,A,B,A,C,D,C,3,7,kofu,100,100,0
Purple,Square,Short,B,B,B,D,D,D,2,8,vori,100,100,1
Yellow,Square,Large,A,A,B,C,C,D,2,9,yuto,100,100,0
Yellow,Octagon,Short,B,A,A,D,C,C,1,10,pitu,100,100,0
Yellow,Octagon,Short,A,B,A,C,D,C,1,11,guvo,100,100,1
Yellow,Octagon,Short,B,B,B,D,D,D,1,12,sula,100,100,0
Purple,Square,Short,A,A,B,C,C,D,2,13,lupu,100,100,0
Purple,Octagon,Large,B,A,A,D,C,C,3,14,rako,100,100,3
Purple,Square,Short,A,B,A,C,D,C,2,15,mube,100,100,2
Purple,Octagon,Large,B,B,B,D,D,D,3,16,moxu,100,100,0
Purple,Octagon,Large,A,A,B,C,C,D,3,17,zahe,100,100,3
Yellow,Octagon,Short,B,A,A,D,C,C,1,18,jeka,100,100,0
Purple,Octagon,Large,A,B,A,C,D,C,3,19,nofi,100,100,2
Yellow,Square,Large,A,B,A,C,D,C,2,20,hoju,100,100,0
